"name","role","logo","project","url"
"NRK","Filming & Editing","img/clients/nrk.png","Filming and editing Forskerstandup 2017","https://nrk.no"
"TV2 Sumo","Audio","img/clients/tv2.png","Siddis brass student production","https://tv2.no"
"Oilers","Directing, VMIX, Replay opeartor, PTZ, Video","img/clients/oilers.png","Live production for Stavanger Oilers","https://oilers.no"
"Klippen Lydsystemer","Camera operator, rigging","img/clients/kls.png","Events and concerts","https://kls.no"
"IMI-Media","Oilers","img/clients/imi.png","See Oilers","https://imikirken.no"
"Eventi","AV-technician","img/clients/eventi.png","AV work","https://eventi.no"
"Easee","Photography",img/clients/easee.jpeg,"Product photography","https://easee.com"
"Smartly / SEDevices","Photography","img/clients/smartly.png","Product photography","https://smartly.no"
"Rogaland Fylkeskommune","AV technician & video","img/clients/rogfk.png","Videos and live productions","https://rogfk.no"
"Norwegian Academy of Music","Video documentation","img/clients/nmh.png","Video documentation of concerts","https://nmh.no"
"Kåkå Kverulantkatedralen","Video production","img/clients/kåkå.png","Kåkånomics 2017-2018","https://kaakaa.no/"
"Filmavdelingen","Camera operator","img/clients/filmavdelingen.png","Conference work","https://filmavdelingen.no"
"Sandviks","Podcast technician",img/clients/sandviks.gif,"Babyverden.no Podcast","https://babyverden.no"
"University of Stavanger","Content production","img/clients/uis.png","Content production & podcasts for UiS","https://uis.no"
"University of Oslo","Content production","img/clients/uio.png","The Gynecologist's Saloon podcast & flipped classroom","https://uio.no"
"NEP","Camera operator","img/clients/nep.png","Conference work","https://www.nepnorway.com/"
"Lura IL","Content production","img/clients/lurail.png","Advertising videos","#"
"Statsbygg","Content production",img/clients/statsbygg.gif,"Advertising videos","https://www.statsbygg.no/"
"Siglar","Content production",img/clients/siglar.webp,"Advertising videos","https://www.siglarcarbon.com/"
"Studioevent","Audio Engineer",img/clients/studioevent.jpg,"Music studio work","https://studioevent.no"
"Nuart","Content production","img/clients/nuart.png","Documentation videos","https://nuart.no"
"Sølvberget","Video documentation","img/clients/solvberget.png","Conference work","https://solvberget.no"