"name","logo","url"
"Babyverdens Podcast",img/podcasts/babyverden.webp,"https://babyverden.no/podcast/"
"Akademisk Skriving",img/podcasts/akademisk_skriving.webp,"https://www.akademiskskriving.no/"
"PedPodden",img/podcasts/pedpodden.webp,https://open.spotify.com/show/1pc8z0aB1WoIJJ98EQrAVu
"Du og jeg og vi to",img/podcasts/du_og_jeg_og_vi_to.webp,"https://nettop.guru/wordpress/category/du-og-jeg-og-vi-to/"
"Auditorium UiS",img/podcasts/auditorium.webp,"https://nettop.guru/wordpress/category/auditorium-uis/"
"The Gynecologists' Saloon",img/podcasts/the_gynecologist_saloon.webp,"https://www.uio.no/studier/emner/medisin/med/MED5600/Reproductive-endocrinology-and-infertility/podcast-tgs/"
"Veiledningspodden",img/podcasts/veiledningspodden.webp,"https://nettop.guru/wordpress/category/veiledningspodden/"
"KnowHow EdTech",img/podcasts/knowhow_edtech.webp,"https://nettop.guru/wordpress/category/knowhow/"
"Vau.fi Podcast",img/podcasts/vaufi.webp,"https://www.vau.fi/podcast/"
"Læringsmiljøsenteret",img/podcasts/lms.webp,"https://nettop.guru/wordpress/category/laeringsmiljo-i-skole-og-barnehage/"